time Hut Table
870.4878299 26.91 29.48
871.4889955667 26.91 29.48
872.4900012 26.91 29.48
873.4901321667 26.9 29.49
874.4914138 26.91 29.5
875.4925985333 26.92 29.49
876.4929828667 26.92 29.5
877.4943861333 26.91 29.48
878.4954629333 26.9 29.48
879.4957213333 26.91 29.5
880.49725 26.91 29.48
881.49857945 26.91 29.49
882.4988007333 26.91 29.49
883.4990918833 26.92 29.48
884.5006050167 26.91 29.48
885.5018189667 26.9 29.48
886.5021695167 26.91 29.5
887.5035290833 26.92 29.48
888.50458205 26.91 29.48
889.5048599833 26.91 29.48
890.50563485 26.9 29.47
891.5063128833 26.91 29.47
892.5078059333 26.9 29.48
893.5085977667 26.9 29.5
894.5097512333 26.9 29.48
895.5113248167 26.9 29.46
896.51254545 26.91 29.47
897.5141991833 26.91 29.48
898.5143842 26.91 29.47
899.5160010333 26.91 29.46
899.7066556 26.91 29.48
900.1641433167 26.91 29.48
901.1654477167 26.91 29.49
902.1656010167 26.92 29.49
903.1663082167 26.92 29.48
904.1675862333 26.92 29.47
905.1684255 26.92 29.48
906.1697414333 26.9 29.48
907.17094215 26.91 29.48
908.1712865333 26.92 29.47
909.1728298333 26.91 29.47
910.1737507 26.9 29.48
911.1740905167 26.9 29.47
912.1752889833 26.9 29.48
913.1762989333 26.91 29.47
914.1765506167 26.92 29.48
915.1775086667 26.91 29.48
916.17790665 26.9 29.47
917.177979 26.91 29.48
918.1780433667 26.9 29.47
919.17900815 26.9 29.48
920.1802895167 26.89 29.47
921.1810285 26.9 29.47
922.1819576167 26.91 29.46
923.1820022833 26.9 29.49
924.18246415 26.9 29.47
925.1825353667 26.9 29.46
926.1838710833 26.89 29.46
927.1843545167 26.91 29.48
928.1848447333 26.91 29.46
929.1863065833 26.9 29.45
930.1874929833 26.9 29.46
931.1879636667 26.9 29.47
932.1884564333 26.87 29.46
933.1894236667 26.89 29.46
934.1899120167 26.88 29.47
935.1903719833 26.89 29.47
936.1908643833 26.9 29.48
937.19170725 26.91 29.46
